Technique:TF 1-gram    , Stem:True, Stop:True, Accuracy:0.8672985781990521
Technique:TF 1-gram    , Stem:True, Stop:True, Accuracy:0.8546603475513428
Technique:TF-IDF 1-gram, Stem:True, Stop:True, Accuracy:0.8775671406003159
Technique:TF 2-gram    , Stem:True, Stop:True, Accuracy:0.8704581358609794
Technique:TF-IDF 2-gram, Stem:True, Stop:True, Accuracy:0.872827804107425
Technique:TF 4-gram    , Stem:True, Stop:True, Accuracy:0.811216429699842
Technique:TF-IDF 4-gram, Stem:True, Stop:True, Accuracy:0.7053712480252765
Technique: TF-IDF 2-gram, Stem:False, Stop:True, Accuracy:0.8886255924170616, Precision:[0.84857571 0.93322204], Recall:[0.9339934 0.8469697], Fscore:[0.88923802 0.88800635]
Technique: TF-IDF 2-gram, Stem:False, Stop:True, Accuracy:0.8720379146919431, Precision:[0.88330632 0.86132512], Recall:[0.85826772 0.8858954 ], Fscore:[0.87060703 0.8734375 ]
Technique: TF 4-gram    , Stem:False, Stop:True, Accuracy:0.6714060031595577, Precision:[0.97368421 0.60500963], Recall:[0.35126582 0.99053628], Fscore:[0.51627907 0.75119617]
Technique: TF 4-gram    , Stem:False, Stop:True, Accuracy:0.8167456556082149, Precision:[0.77339181 0.86769759], Recall:[0.87293729 0.76515152], Fscore:[0.82015504 0.81320451]
Technique: TF 4-gram    , Stem:False, Stop:True, Accuracy:0.6714060031595577, Precision:[0.958159   0.60467381], Recall:[0.36062992 0.98415214], Fscore:[0.52402746 0.7490953 ]
Technique: TF-IDF 4-gram, Stem:False, Stop:True, Accuracy:0.6785150078988942, Precision:[0.92134831 0.61361361], Recall:[0.38924051 0.96687697], Fscore:[0.54727475 0.75076546]
Technique: TF-IDF 4-gram, Stem:False, Stop:True, Accuracy:0.8191153238546603, Precision:[0.76511955 0.88828829], Recall:[0.89768977 0.7469697 ], Fscore:[0.82611997 0.81152263]
Technique: TF-IDF 4-gram, Stem:False, Stop:True, Accuracy:0.6832543443917851, Precision:[0.89527027 0.6185567 ], Recall:[0.41732283 0.95087163], Fscore:[0.56928034 0.74953154]
Technique: TF 1-gram    , Stem:True, Stop:False, Accuracy:0.8515007898894155, Precision:[0.85238095 0.85062893], Recall:[0.84968354 0.8533123 ], Fscore:[0.85103011 0.8519685 ]
Technique: TF 1-gram    , Stem:True, Stop:False, Accuracy:0.8562401263823065, Precision:[0.82919255 0.88424437], Recall:[0.88118812 0.83333333], Fscore:[0.8544     0.85803432]
Technique: TF 1-gram    , Stem:True, Stop:False, Accuracy:0.8554502369668247, Precision:[0.85202492 0.85897436], Recall:[0.86141732 0.84944532], Fscore:[0.85669538 0.85418327]
Technique: TF-IDF 1-gram, Stem:True, Stop:False, Accuracy:0.8696682464454977, Precision:[0.8620155  0.87761675], Recall:[0.87974684 0.85962145], Fscore:[0.87079092 0.8685259 ]
Technique: TF-IDF 1-gram, Stem:True, Stop:False, Accuracy:0.8830963665086888, Precision:[0.84908537 0.91967213], Recall:[0.91914191 0.85      ], Fscore:[0.88272583 0.88346457]
Technique: TF-IDF 1-gram, Stem:True, Stop:False, Accuracy:0.8799368088467614, Precision:[0.8744186  0.88566828], Recall:[0.88818898 0.87163233], Fscore:[0.88125    0.87859425]
Technique: TF 2-gram    , Stem:True, Stop:False, Accuracy:0.8412322274881516, Precision:[0.86097152 0.82361734], Recall:[0.81329114 0.86908517], Fscore:[0.8364524 0.8457406]
Technique: TF 2-gram    , Stem:True, Stop:False, Accuracy:0.8546603475513428, Precision:[0.83814103 0.87071651], Recall:[0.8630363 0.8469697], Fscore:[0.8504065  0.85867896]
Technique: TF 2-gram    , Stem:True, Stop:False, Accuracy:0.8278041074249605, Precision:[0.83574879 0.82015504], Recall:[0.81732283 0.83835182], Fscore:[0.82643312 0.82915361]
Technique: TF-IDF 2-gram, Stem:True, Stop:False, Accuracy:0.8601895734597157, Precision:[0.86053883 0.85984252], Recall:[0.85917722 0.86119874], Fscore:[0.85985748 0.86052009]
Technique: TF-IDF 2-gram, Stem:True, Stop:False, Accuracy:0.8625592417061612, Precision:[0.83027523 0.89705882], Recall:[0.8960396  0.83181818], Fscore:[0.86190476 0.86320755]
Technique: TF-IDF 2-gram, Stem:True, Stop:False, Accuracy:0.84913112164297, Precision:[0.8404908  0.85830619], Recall:[0.86299213 0.83518225], Fscore:[0.85159285 0.84658635]
Technique: TF 4-gram    , Stem:True, Stop:False, Accuracy:0.7575039494470774, Precision:[0.90322581 0.68945539], Recall:[0.57594937 0.9384858 ], Fscore:[0.70338164 0.79492318]
Technique: TF 4-gram    , Stem:True, Stop:False, Accuracy:0.825434439178515, Precision:[0.86666667 0.79622132], Recall:[0.75082508 0.89393939], Fscore:[0.8045977  0.84225553]
Technique: TF 4-gram    , Stem:True, Stop:False, Accuracy:0.759083728278041, Precision:[0.9125     0.68822171], Recall:[0.57480315 0.94453249], Fscore:[0.70531401 0.79625919]
Technique: TF-IDF 4-gram, Stem:True, Stop:False, Accuracy:0.7804107424960506, Precision:[0.84570312 0.73607427], Recall:[0.68512658 0.87539432], Fscore:[0.75699301 0.79971182]
Technique: TF-IDF 4-gram, Stem:True, Stop:False, Accuracy:0.8475513428120063, Precision:[0.84019769 0.85432473], Recall:[0.84158416 0.8530303 ], Fscore:[0.84089035 0.85367703]
Technique: TF-IDF 4-gram, Stem:True, Stop:False, Accuracy:0.7883096366508688, Precision:[0.85769981 0.74103586], Recall:[0.69291339 0.88431062], Fscore:[0.76655052 0.80635838]
Technique: TF 1-gram    , Stem:False, Stop:False, Accuracy:0.863349131121643, Precision:[0.86255924 0.86413902], Recall:[0.86392405 0.86277603], Fscore:[0.86324111 0.86345699]
Technique: TF 1-gram    , Stem:False, Stop:False, Accuracy:0.8665086887835703, Precision:[0.84087363 0.8928    ], Recall:[0.88943894 0.84545455], Fscore:[0.86447474 0.86848249]
Technique: TF 1-gram    , Stem:False, Stop:False, Accuracy:0.8665086887835703, Precision:[0.86750789 0.86550633], Recall:[0.86614173 0.86687797], Fscore:[0.86682427 0.86619161]
Technique: TF-IDF 1-gram, Stem:False, Stop:False, Accuracy:0.8783570300157978, Precision:[0.86544343 0.89215686], Recall:[0.89556962 0.86119874], Fscore:[0.88024883 0.87640449]
Technique: TF-IDF 1-gram, Stem:False, Stop:False, Accuracy:0.8799368088467614, Precision:[0.84084084 0.92333333], Recall:[0.92409241 0.83939394], Fscore:[0.88050314 0.87936508]
Technique: TF-IDF 1-gram, Stem:False, Stop:False, Accuracy:0.8815165876777251, Precision:[0.87022901 0.89361702], Recall:[0.8976378  0.86529319], Fscore:[0.88372093 0.87922705]
Technique: TF 2-gram    , Stem:False, Stop:False, Accuracy:0.8420221169036335, Precision:[0.85880399 0.82680723], Recall:[0.81803797 0.8659306 ], Fscore:[0.83792545 0.8459168 ]
Technique: TF 2-gram    , Stem:False, Stop:False, Accuracy:0.8546603475513428, Precision:[0.84032258 0.86842105], Recall:[0.85973597 0.85      ], Fscore:[0.84991843 0.85911179]
Technique: TF 2-gram    , Stem:False, Stop:False, Accuracy:0.830173775671406, Precision:[0.83653846 0.82398754], Recall:[0.82204724 0.83835182], Fscore:[0.82922955 0.83110762]
Technique: TF-IDF 2-gram, Stem:False, Stop:False, Accuracy:0.8546603475513428, Precision:[0.85782748 0.8515625 ], Recall:[0.84968354 0.85962145], Fscore:[0.85373609 0.855573  ]
Technique: TF-IDF 2-gram, Stem:False, Stop:False, Accuracy:0.8609794628751974, Precision:[0.82477341 0.90066225], Recall:[0.9009901  0.82424242], Fscore:[0.86119874 0.86075949]
Technique: TF-IDF 2-gram, Stem:False, Stop:False, Accuracy:0.8499210110584519, Precision:[0.83458647 0.86688852], Recall:[0.87401575 0.82567353], Fscore:[0.85384615 0.84577922]
Technique: TF 4-gram    , Stem:False, Stop:False, Accuracy:0.7606635071090048, Precision:[0.91022444 0.69132948], Recall:[0.57753165 0.94321767], Fscore:[0.70667957 0.79786524]
Technique: TF 4-gram    , Stem:False, Stop:False, Accuracy:0.8262243285939969, Precision:[0.87115385 0.79490617], Recall:[0.74752475 0.89848485], Fscore:[0.80461812 0.84352774]
Technique: TF 4-gram    , Stem:False, Stop:False, Accuracy:0.7543443917851501, Precision:[0.91116751 0.68348624], Recall:[0.56535433 0.94453249], Fscore:[0.69776482 0.79308051]
Technique: TF-IDF 4-gram, Stem:False, Stop:False, Accuracy:0.7788309636650869, Precision:[0.83976834 0.73663102], Recall:[0.68829114 0.86908517], Fscore:[0.75652174 0.79739508]
Technique: TF-IDF 4-gram, Stem:False, Stop:False, Accuracy:0.8428120063191153, Precision:[0.83089431 0.85407066], Recall:[0.84323432 0.84242424], Fscore:[0.83701884 0.84820748]
